"sample_name","treatment","plot","ind_id","Osm1g00170","Osm1g00200","Osm1g00310","Osp1g00110","Osp1g00120","Osp1g00130","Osp1g00140","Osp1g00150","Osp1g00160","Osp1g00190","Osp1g00220","Osp1g00250","Osp1g00260","Osp1g00270","Osp1g00280","Osp1g00300","Osp1g00310","Osp1g00320","Osp1g00330","Osp1g00350","Osp1g00360","Osp1g00370","Osp1g00380","Osp1g00390","Osp1g00400","Osp1g00410","Osp1g00440","Osp1g00460","Osp1g00470","Osp1g00480","Osp1g00490","Osp1g00500","Osp1g00510","Osp1g00520","Osp1g00550","Osp1g00560","Osp1g00570","Osp1g00580","Osp1g00600","Osp1g00620","Osp1g00640","Osp1g00660","Osp1g00670","Osp1g00680","Osp1g00690","Osp1g00700","Osp1g00710","Osp1g00720","Osp1g00730","Osp1g00740","Osp1g00770","Osp1g00780","Osp1g00890","Osp1g00910","Osp1g00930","Osp1g00940","Osp1g00950","Osp1g00960","Osp1g00970","Osp1g01040","Osp1g01090","Osp1g01100","Os01g0104600","Os01g0642200","Os01g0678500","Os01g0791033","Os02g0530100","Os02g0668500","Os02g0684400","Os02g0794600","Os03g0176900","Os03g0285700","Os03g0628800","Os03g0659233","Os03g0659266","Os03g0659350","Os04g0473150","Os05g0176700","Os05g0579900","Os06g0228732","Os06g0272600","Os07g0294300","Os07g0619200","Os08g0162800","Os08g0198200","Os08g0374100","Os08g0433350","Os09g0440851","Os11g0184900","Os12g0117400","Os12g0504050"
"S028","CT","1","P1-1-2",1.9176003719362,4.7940009298405,1.9176003719362,2593.55450304371,10.5468020456491,11.5056022316172,44.1048085545326,3.8352007438724,47.940009298405,2881.19455883414,981.811390431334,1.9176003719362,177.378034404098,3.8352007438724,123.685223989885,359.550069738037,51.7752100422774,5.7528011158086,201.348039053301,38.352007438724,5.7528011158086,31.6404061369473,45.0636087405007,1869.66036263779,642.396124598627,214.771241656854,0.9588001859681,2124.70121210531,8.6292016737129,34.5168066948516,23.9700046492025,12.4644024175853,0.9588001859681,9.588001859681,238.741246306057,1.9176003719362,5.7528011158086,221.482842958631,111.2208215723,2549.44969448918,60.4044117159903,185.048435891843,10.5468020456491,8.6292016737129,28.764005579043,124.644024175853,171.62523328829,32.5992063229154,58.4868113440541,45.0636087405007,99.7152193406824,1.9176003719362,4.7940009298405,60.4044117159903,0.9588001859681,0.9588001859681,9.588001859681,60.4044117159903,9.588001859681,103.550420084555,1.9176003719362,99.7152193406824,123.685223989885,2716.28092684763,69.0336133897032,3530.30228473454,68.0748132037351,352.838468436261,775.669350448193,9.588001859681,39.3108076246921,685.542132967191,45.0636087405007,9.588001859681,0.9588001859681,9.588001859681,303.939658951888,215.730041842822,10.5468020456491,67.116013017767,5.7528011158086,298.186857836079,531.175303026327,1728.71673530048,18.2172035333939,279.969654302685,22.0524042772663,15.3408029754896,93.9624182248738,113.138421944236,1949.24077807315
"S029","CT","1","P1-2-2",5.60204122913129,0.933673538188548,7.46938830550839,2631.09203061533,32.6785738365992,12.1377559964511,75.6275565932724,10.270408920074,42.9489827566732,3521.8165860472,1617.12256814257,3.73469415275419,213.811240245178,10.270408920074,234.352058085326,649.83678257923,126.045927655454,7.46938830550839,236.219405161703,44.8163298330503,5.60204122913129,35.4795944511648,68.158168287764,1682.47971581576,762.811280700044,375.336762351796,0.933673538188548,2492.90834696342,25.2091855310908,53.2193916767473,49.4846975239931,22.4081649165252,11.2040824582626,14.0051030728282,430.423501104921,2.80102061456564,18.673470763771,380.938803580928,142.852051342848,2871.97980346797,89.6326596661006,308.112267602221,17.7397972255824,14.9387766110168,59.7551064440671,216.612260859743,294.107164529393,70.0255153641411,127.913274731831,102.70408920074,178.331645794013,14.9387766110168,7.46938830550839,104.571436277117,0.933673538188548,3.73469415275419,6.53571476731984,87.7653125897235,18.673470763771,74.6938830550839,14.9387766110168,178.331645794013,93.3673538188548,2232.41342980882,78.4285772078381,8178.98019453168,70.0255153641411,357.596965126214,388.408191886436,24.2755119929023,24.2755119929023,710.525562561485,51.3520446003702,14.0051030728282,11.2040824582626,12.1377559964511,264.229611307359,144.719398419225,3.73469415275419,96.1683744334205,2.80102061456564,265.163284845548,518.188813694644,1436.92357527218,14.0051030728282,218.47960793612,33.6122473747877,16.8061236873939,117.642865811757,54.1530652149358,2638.56141892084
"S030","CT","1","P1-3-2",0,9.11048926796995,12.1473190239599,3358.73371012492,18.2209785359399,22.7762231699249,118.436360483609,9.11048926796995,81.9944034117295,6832.86695097746,1973.93934139349,6.07365951197996,306.719805354988,7.59207438997495,311.275049988973,586.108142906067,115.399530727619,13.6657339019549,321.903954134938,48.5892760958397,24.2946380479199,56.1813504858147,65.2918397537846,2819.6964284367,1046.18785093855,434.266655106567,0,3539.42508060632,18.2209785359399,54.6629356078197,40.9972017058648,27.3314678039098,6.07365951197996,12.1473190239599,450.969218764512,7.59207438997495,6.07365951197996,463.116537788472,174.617710969424,4046.57564985665,132.102094385564,306.719805354988,22.7762231699249,10.6289041459649,56.1813504858147,189.801859749374,252.056869747168,45.5524463398497,106.289041459649,97.1785521916794,133.620509263559,6.07365951197996,1.51841487799499,168.544051457444,1.51841487799499,6.07365951197996,7.59207438997495,145.767828287519,15.1841487799499,136.657339019549,6.07365951197996,133.620509263559,109.325871215639,2206.25681772672,101.733796825664,8275.3610850727,47.0708612178447,441.858729496542,484.374346080402,28.8498826819048,40.9972017058648,865.496480457145,65.2918397537846,12.1473190239599,6.07365951197996,13.6657339019549,379.603719498748,165.507221701454,7.59207438997495,109.325871215639,4.55524463398497,256.612114381154,578.516068516092,1720.36405676832,10.6289041459649,253.575284625164,36.4419570718798,18.2209785359399,121.473190239599,77.4391587777445,4477.80547520723
"S031","GN","2","P2-1-2",1.84738634907809,5.54215904723427,6.46585222177331,2353.57020872548,47.1083519014913,30.4818747597885,61.887442694116,3.69477269815618,55.4215904723427,5257.66154947624,1700.51913432638,1.84738634907809,282.650111408948,17.5501703162418,236.465452681995,690.922494555205,129.317044435466,12.0080112690076,236.465452681995,35.1003406324837,10.1606249199295,45.2609655524132,60.0400563450379,1980.39816621171,768.512721216485,295.581815852494,2.77107952361713,3155.33588422538,24.9397157125542,46.1846587269522,35.1003406324837,20.321249839859,7.38954539631235,11.0843180944685,451.685962349593,9.23693174539044,5.54215904723427,425.822553462499,142.248748879013,3572.84519911702,89.5982379302873,329.758463310439,10.1606249199295,30.4818747597885,81.2849993594359,242.00761172923,310.360906645119,97.9114765011387,134.8592034827,125.62227173731,163.493691893411,10.1606249199295,3.69477269815618,107.148408246529,0.923693174539044,3.69477269815618,5.54215904723427,95.1403969775216,12.9317044435466,91.4456242793654,10.1606249199295,163.493691893411,140.401362529935,2261.20089127158,103.453635548373,7583.52096296555,60.0400563450379,278.031645536252,331.605849659517,30.4818747597885,20.321249839859,638.27198360648,41.566192854257,11.0843180944685,7.38954539631235,7.38954539631235,239.236532205612,102.529942373834,11.0843180944685,72.0480676140455,8.3132385708514,197.670339351355,484.015223458459,1605.37873734886,7.38954539631235,194.899259827738,48.9557382505694,23.0923293634761,160.722612369794,63.7348290431941,3635.65633498568
"S032","GN","2","P2-2-2",10.0106984921732,5.00534924608662,7.15049892298088,2582.0451610884,77.2253883681935,12.8708980613656,68.6447896606165,7.86554881527897,57.9190412761452,4705.02829132142,1728.99063957678,5.72039913838471,273.14905885787,18.5912971997503,309.616603365072,723.630491005665,126.563830936762,10.7257483844713,263.853410257995,48.62339267627,17.8762473074522,40.0427939686929,80.0855879373859,1977.11295220421,772.968933574233,343.223948303082,1.43009978459618,2790.12467974714,18.5912971997503,62.2093406299337,60.0641909530394,21.4514967689427,7.86554881527897,16.446147522856,489.094126331892,3.57524946149044,13.5859479536637,497.674725039469,174.472173720734,3365.0247931548,85.8059870757706,338.933648949294,20.0213969843465,17.8762473074522,62.2093406299337,286.735006811533,368.965744425814,90.0962864295591,153.020676951791,135.144429644339,205.219319089551,10.0106984921732,7.15049892298088,116.553132444588,2.14514967689427,4.29029935378853,15.0160477382599,113.692932875396,15.7310976305579,109.402633521608,10.0106984921732,205.219319089551,131.569180182848,1617.44285637828,89.381236537261,13593.813502479,38.6126941840968,254.557761658119,268.143709611783,22.1665466612407,6.4354490306828,607.077358561077,37.1825943995006,16.446147522856,7.86554881527897,6.4354490306828,255.987861442716,98.6768851371362,7.86554881527897,116.553132444588,5.00534924608662,239.54171391986,469.787779239844,1043.25779286291,5.72039913838471,184.482872212907,51.4835922454624,28.6019956919235,155.880876520983,35.7524946149044,3224.87501426438
"S033","GN","2","P2-3-2",33.2230904020152,66.4461808040305,222.665393119889,44494.2005394649,528.035075112881,165.408577746204,1336.69923298321,142.788601302278,1671.05075979498,59178.8064971556,15575.2675301703,88.3592829840831,2223.8264341434,176.718565968166,2887.58136791984,10375.500445123,2110.0196776599,254.474734994159,3566.18066123759,590.946884597548,243.871621036069,616.394358096964,790.285427009639,13999.6447959981,7825.80497533427,3585.26626636216,33.2230904020152,19082.0707532426,209.941656370181,3028.2493464305,475.726379586303,252.354112202541,48.0674499433412,99.6692712060457,4933.27548756733,107.444888108645,156.926086579732,3294.03406964662,824.215391675527,24240.1322567214,864.507224716269,2727.82778428461,151.27109246875,303.249059201373,782.50981010704,1738.91068912676,1757.99629425132,669.409927887414,1724.7732038493,1537.45152392305,847.542242383325,77.0492947621205,61.4980609569218,1467.47097179965,38.1712102491239,230.441010022489,178.839188759784,4403.8266639267,159.753583635222,913.281548923483,77.0492947621205,847.542242383325,190.85605124562,1407.38665937048,103.910516789282,86138.9909212591,32.5162161381426,351.316509144714,227.613512966998,36.0505874575059,20.4993536523073,555.603171403915,26.1543477632886,99.6692712060457,48.0674499433412,6.36186837485398,6171.71919787224,77.0492947621205,53.7224440543225,2810.53207315772,53.0155697904499,154.098589524241,366.16086868604,1381.93918587106,4.94811984710865,195.097296828855,694.85740138683,391.608342185456,175.304817440421,19.7924793884346,39628.0781069655
"S034","CK","3","P3-1-2",2.35949756160326,2.35949756160326,7.07849268480979,2368.93555184968,16.5164829312228,28.3139707392392,66.0659317248914,8.25824146561142,64.8861829440898,5720.60183810711,2129.44654934695,4.71899512320653,211.175031763492,20.0557292736277,257.185234214756,617.008612359253,116.795129299362,15.3367341504212,206.456036640286,38.9317097664539,15.3367341504212,50.7291975744702,70.7849268480979,2164.83901277099,624.087105044063,303.195436666019,1.17974878080163,2993.02265689374,33.0329658624457,67.245680505693,57.80769025928,24.7747243968343,8.25824146561142,15.3367341504212,493.134990375082,1.17974878080163,8.25824146561142,386.957600102935,115.61538051856,3136.95200815154,89.660907340924,270.162470803574,30.6734683008424,30.6734683008424,51.9089463552718,199.377543955476,252.466239091549,58.9874390400816,133.311612230584,133.311612230584,154.547090285014,9.43799024641306,15.3367341504212,93.2001536833289,4.71899512320653,1.17974878080163,5.89874390400816,125.053370764973,12.977236588818,80.222917094511,9.43799024641306,154.547090285014,146.288848819402,2140.06428837416,71.9646756288995,6370.64341632881,58.9874390400816,292.577697638805,379.879107418125,25.9544731776359,15.3367341504212,677.175800180137,67.245680505693,15.3367341504212,8.25824146561142,5.89874390400816,283.139707392392,82.5824146561142,2.35949756160326,114.435631737758,9.43799024641306,221.792770790707,438.866546458207,1360.25034426428,28.3139707392392,247.747243968343,48.3697000128669,24.7747243968343,156.906587846617,101.45839514894,4009.96610594475
"S035","CK","3","P3-2-2",3.37329311386465,4.21661639233082,16.0231422908571,4188.78672414143,30.3596380247819,32.0462845817142,83.4890045681502,5.90326294926314,79.2723881758194,6537.4420546697,1855.31121262556,9.2765560631278,290.946531070826,10.9632026200601,335.642664829533,811.276993884449,143.364957339248,13.4931724554586,289.259884513894,46.382780315639,21.0830819616541,53.9726898218345,79.2723881758194,2548.52294752475,1211.85555115588,492.500794624239,1.68664655693233,3260.28779455019,23.6130517970526,69.1525088342254,70.8391553911577,25.2996983539849,10.9632026200601,21.0830819616541,554.906717230736,5.05993967079698,10.9632026200601,518.64381625669,189.747737654887,3493.88834268531,114.691965871398,360.099039905052,17.7097888477894,29.5163147463157,61.5625993280299,279.1400051723,291.789854349293,65.7792157203608,147.581573731579,96.9821770236088,203.240910110345,10.119879341594,15.1798190123909,123.12519865606,0.843323278466163,5.90326294926314,9.2765560631278,161.918069465503,18.5531121262556,191.434384211819,10.119879341594,203.240910110345,150.954866845443,2827.66295269705,82.645681289684,10396.4893769309,65.7792157203608,402.26520382836,491.657471345773,31.202961303248,31.202961303248,692.36841162072,56.5026596572329,21.0830819616541,10.9632026200601,10.119879341594,489.970824788841,129.871784883789,16.8664655693233,116.378612428331,10.9632026200601,237.817164527458,599.602850989442,1619.18069465503,18.5531121262556,291.789854349293,34.5762544171127,23.6130517970526,139.991664225383,59.8759527710976,4311.06859951903
"S036","CK","3","P3-3-2",0,0,8.25494083962604,1498.27176239213,13.7582347327101,35.7714103050462,56.4087624041113,4.12747041981302,52.2812919842983,4514.07681580217,963.076431289705,2.75164694654201,231.138343509529,2.75164694654201,220.131755723361,434.760217553638,52.2812919842983,12.3824112594391,258.654812974949,27.5164694654201,26.1406459921491,35.7714103050462,30.2681164119622,1839.47598376334,470.531627858684,185.736168891586,1.37582347327101,2832.820531465,15.1340582059811,56.4087624041113,23.3889990456071,6.87911736635504,8.25494083962604,16.5098816792521,326.070163165229,1.37582347327101,4.12747041981302,253.151519081865,141.709817746914,3240.06427955322,68.7911736635504,290.298752860183,20.6373520990651,15.1340582059811,41.2747041981302,199.494403624296,167.850463739063,31.6439398852332,92.1801727091575,49.5296450377563,83.9252318695314,11.0065877861681,4.12747041981302,108.69005438841,4.12747041981302,2.75164694654201,5.50329389308403,79.7977614497184,2.75164694654201,105.938407441868,11.0065877861681,83.9252318695314,115.569171754765,2359.53725665978,96.3076431289705,3487.712504742,67.4153501902794,301.305340646351,409.99539503476,24.7648225188781,20.6373520990651,753.951263352512,35.7714103050462,16.5098816792521,8.25494083962604,8.25494083962604,134.830700380559,108.69005438841,8.25494083962604,53.6571154575693,1.37582347327101,273.78887118093,575.094211827281,1763.80569273343,27.5164694654201,319.191045798874,34.3955868317752,24.7648225188781,116.944995228036,93.5559961824285,2915.36993986126
"S037","CT","4","P4-1-2",3.42046062993473,5.47273700789556,8.89319763783029,2941.59614174386,34.8886984253342,28.7318692914517,56.0955543309295,4.78864488190862,67.0410283467206,4551.26491419115,1496.79357165944,4.78864488190862,218.909480315822,9.57728976381723,263.375468504974,653.99207244352,97.1410818901462,6.15682913388251,308.525548820112,36.940974803295,19.8386716536214,50.6228173230339,62.252383464812,2004.38992914175,941.994857484023,403.614354332298,0,2631.01831654579,14.3659346457258,80.0387787404726,36.2568826773081,45.1500803151384,7.5250133858564,16.4182110236867,472.707659056979,8.20910551184334,8.20910551184334,407.718907088219,149.816175591141,2970.32801103532,89.6160685042898,283.214140158595,21.2068559055953,17.7863952756606,65.6728440947467,222.329940945757,264.743652756948,77.9865023625117,110.138832283898,104.666095276003,162.813925984893,11.6295661417781,6.15682913388251,102.613818898042,1.36818425197389,2.73636850394778,4.10455275592167,117.663845669755,11.6295661417781,142.291162205285,11.6295661417781,162.813925984893,108.086555905937,2451.78617953721,80.0387787404726,10792.23737957,63.6205677167859,241.484520473392,312.630101576034,13.6818425197389,23.2591322835561,835.960577956047,43.7818960631645,16.4182110236867,7.5250133858564,7.5250133858564,335.205141733603,95.7728976381723,6.15682913388251,102.613818898042,10.2613818898042,218.225388189835,721.03310079024,1685.60299843183,17.1023031496736,232.591322835561,47.8864488190862,19.1545795276345,123.820674803637,61.5682913388251,3228.91483465838
