"taxa1","taxa2","cor","taxa_name1","taxa_name2","taxa_id1","taxa_id2","assign_same_taxa"
216,974,0.984784035248026,"CMR-010_PRO_Bacteria_Proteobacteria__","CMR-011_FUN_Eukaryota___","Prok_Taxa00235","Fungi_Taxa01950",0
257,1264,0.983600313087155,"CMR-010_PRO_Bacteria_Proteobacteria__","CMR-009_EUK_Eukaryota___","Prok_Taxa00280","Euk_Taxa00048",0
302,448,0.992752373321921,"CMR-010_PRO_Bacteria_Proteobacteria__","CMR-010_PRO_Bacteria_Proteobacteria__","Prok_Taxa00332","Prok_Taxa00500",1
302,586,0.985806421632258,"CMR-010_PRO_Bacteria_Proteobacteria__","CMR-010_PRO_Bacteria_Proteobacteria__","Prok_Taxa00332","Prok_Taxa00720",1
448,499,0.976719229035284,"CMR-010_PRO_Bacteria_Proteobacteria__","CMR-010_PRO_Bacteria_Bacteroidetes_Cytophagaceae_Cytophaga","Prok_Taxa00500","Prok_Taxa00562",0
448,586,0.982071135309823,"CMR-010_PRO_Bacteria_Proteobacteria__","CMR-010_PRO_Bacteria_Proteobacteria__","Prok_Taxa00500","Prok_Taxa00720",1
485,1136,0.975706956145275,"CMR-010_PRO_Bacteria_Proteobacteria__","CMR-011_INV_Eukaryota___","Prok_Taxa00547","Inv_Taxa00185",0
727,1188,0.976070020742803,"CMR-010_PRO_Eukaryota__Pythiaceae_","CMR-011_INV_Eukaryota__Pythiaceae_","Prok_Taxa01765","Inv_Taxa00326",1
728,1352,0.98214240742693,"CMR-010_PRO_Eukaryota__Pythiaceae_","CMR-009_EUK_Eukaryota___","Prok_Taxa02025","Euk_Taxa00140",1
735,770,0.99100390779281,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00005","Fungi_Taxa00043",1
735,812,0.986796413356886,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00005","Fungi_Taxa00087",1
735,816,0.979353333970156,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00005","Fungi_Taxa00091",1
735,821,0.991061985168628,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00005","Fungi_Taxa00096",1
735,822,0.991828937709658,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00005","Fungi_Taxa00097",1
735,823,0.988256734415056,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00005","Fungi_Taxa00098",1
735,825,0.986422877538359,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00005","Fungi_Taxa00100",1
735,827,0.987161729921138,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00005","Fungi_Taxa00102",1
735,828,0.985122633497691,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00005","Fungi_Taxa00103",1
735,831,0.988873788004523,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00005","Fungi_Taxa00106",1
741,770,0.985703705919264,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00012","Fungi_Taxa00043",1
741,812,0.98990046284997,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00012","Fungi_Taxa00087",1
741,816,0.97953659336791,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00012","Fungi_Taxa00091",1
741,821,0.978594524462653,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00012","Fungi_Taxa00096",1
741,822,0.984265904767527,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00012","Fungi_Taxa00097",1
741,823,0.978624551208087,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00012","Fungi_Taxa00098",1
741,825,0.976436547346026,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00012","Fungi_Taxa00100",1
741,827,0.988549626076665,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00012","Fungi_Taxa00102",1
741,828,0.98451906668499,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00012","Fungi_Taxa00103",1
743,764,0.995237019727104,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00014","Fungi_Taxa00037",1
743,771,0.981959120255838,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00014","Fungi_Taxa00044",1
746,761,0.994681559989307,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00018","Fungi_Taxa00034",1
746,762,0.993901082069402,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00018","Fungi_Taxa00035",1
749,752,0.975869092024577,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00022","Fungi_Taxa00025",1
749,753,0.975687389570005,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00022","Fungi_Taxa00026",1
749,754,0.980801046082926,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00022","Fungi_Taxa00027",1
749,759,0.979689996378077,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00022","Fungi_Taxa00032",1
749,760,0.975906245949913,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00022","Fungi_Taxa00033",1
752,753,0.976034756402347,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00025","Fungi_Taxa00026",1
752,754,0.980618044581407,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00025","Fungi_Taxa00027",1
752,759,0.985597037843844,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00025","Fungi_Taxa00032",1
753,754,0.986547562066084,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00026","Fungi_Taxa00027",1
753,756,0.98612912385618,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00026","Fungi_Taxa00029",1
753,759,0.987545818941949,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00026","Fungi_Taxa00032",1
753,760,0.98542492504589,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00026","Fungi_Taxa00033",1
754,756,0.985880255717836,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00027","Fungi_Taxa00029",1
754,759,0.990787735884294,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00027","Fungi_Taxa00032",1
754,760,0.989067645739936,"CMR-011_FUN____","CMR-011_FUN____","Fungi_Taxa00027","Fungi_Taxa00033",1
