"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S226",176,91,105,0,0
"S227",384,89,289,13,24
"S228",183,126,95,0,0
"S229",172,70,113,0,0
"S230",204,72,138,12,9
"S231",188,86,136,15,21
"S232",511,214,274,0,0
"S233",231,71,123,13,8
"S234",198,50,107,5,14
"S235",178,90,59,5,0
"S236",184,137,112,0,0
"S237",135,49,122,3,0
"S238",143,87,161,0,0
"S239",0,0,0,0,0
"S240",0,0,0,0,0
"S241",0,0,0,0,0
"S242",360,132,166,23,14
"S243",232,54,160,40,0
"S244",31,15,23,0,0
"S245",529,145,402,16,9
"S246",314,169,100,13,61
"S247",250,76,109,0,0
"S248",486,145,199,46,18
"S249",387,89,132,27,0
"S250",94,79,29,0,0
"S251",334,82,110,64,0
"S252",167,50,85,0,0
"S253",301,107,525,4,0
"S254",375,105,249,64,4
"S255",136,49,128,11,0
"S256",2784,176,213,21,18
"S257",943,245,418,68,8
"S258",550,121,87,12,10
"S259",263,56,133,6,0
"S260",400,88,73,6,0
"S261",191,66,137,12,0
"S262",207,46,117,18,0
"S263",176,43,78,23,10
"S264",189,68,45,5,0
"S265",171,37,43,0,5
"S266",100,60,66,0,6
"S267",91,40,45,0,0
"S268",109,67,101,0,0
"S269",119,38,51,0,6
"S270",141,28,102,0,0
"S271",142,21,47,3,0
"S272",194,51,152,7,12
"S273",756,169,363,11,5
"S274",160,80,96,7,0
"S275",143,80,76,15,0
"S276",297,70,63,5,0
"S277",163,41,90,12,0
"S278",210,45,239,29,0
"S279",34,14,20,0,0
"S280",0,0,0,0,0
"S281",11255,2281,3378,282,100
"S282",493,620,478,24,0
"S283",518,271,125,38,5
"S284",442,167,237,57,0
"S285",629,234,387,67,0
"S286",1095,405,1362,50,121
"S287",908,269,469,0,0
"S288",128,36,62,0,5
"S289",1614,786,528,33,35
"S290",740,416,535,10,107
"S291",673,285,613,31,2
"S292",303,181,219,62,0
"S293",998,339,291,0,0
"S294",226,53,89,26,0
"S295",733,178,182,3,24
"S296",221,135,82,24,5
"S297",1187,423,541,37,0
"S298",1336,577,654,96,11
"S299",757,274,216,21,0
"S300",440,182,272,9,40
"S301",501,235,177,7,0
"S302",517,147,291,81,0
"S303",146,44,196,11,0
"S304",859,337,563,35,30
"S305",233,7697,127,37,6
"S306",286,129,110,0,10
"S307",299,109,151,19,0
"S308",515,263,294,10,0
"S309",414,187,330,9,0
"S310",782,300,280,47,4
"S311",72,14,34,0,0
"S312",830,425,507,53,43
"S313",3249,546,326,52,32
"S314",3020,408,195,0,0
"S315",512,339,367,8,38
"S316",557,331,422,2,35
"S317",446,269,385,68,0
"S318",844,483,250,79,66
"S319",23,15,20,0,0
"S320",36,29,15,0,0
"S321",1188,377,467,73,85
"S322",239,97,50,0,4
"S323",112,49,67,16,0
"S324",30,0,14,0,0
"S325",235,95,88,3,0
"S326",84,69,67,0,0
"S327",173,101,181,6,7
"S328",292,160,97,6,0
"S329",195,76,115,15,0
"S330",105,36,36,12,0
"S331",89,39,124,0,0
"S332",91,39,59,5,0
"S333",95,76,56,22,0
"S334",146,72,55,0,0
"S335",148,55,42,6,0
"S336",278,243,206,41,0
"S337",396,42,194,21,0
"S338",307,166,149,0,0
"S339",345,120,112,22,43
"S340",218,90,152,0,0
"S341",598,22,89,14,0
"S342",409,174,226,26,0
"S343",190,76,141,8,0
"S344",319,518,517,23,0
"S345",305,107,114,8,0
"S346",562,261,187,5,0
"S347",350,152,159,0,0
"S348",403,89,169,39,20
"S349",331,72,156,29,0
"S350",309,321,183,13,0
"S351",2074,176,941,15,21
"S352",515,266,205,16,0
"S353",308,185,129,36,0
"S354",284,59,81,0,0
"S355",379,129,205,235,0
"S356",270,129,176,18,19
"S357",406,149,248,9,20
"S358",344,72,157,18,7
"S359",29,14,8,0,2
"S360",54,42,25,6,0
"S361",2681,1564,839,434,0
"S362",2940,707,670,111,0
"S363",2509,1148,1482,31,0
"S364",1843,991,1204,12,0
"S365",4278,1012,1490,525,39
"S366",4043,1189,1791,362,140
"S367",2918,1326,936,11,194
"S368",3992,3320,2359,588,64
"S369",0,0,0,0,0
"S370",0,0,0,0,0
"S371",0,0,0,0,0
"S372",0,0,0,0,0
"S373",0,0,0,0,0
"S374",0,0,0,0,0
"S375",0,0,0,0,0
"S376",0,0,0,0,0
"S377",3303,1021,888,168,172
"S378",1292,977,740,114,0
"S379",9445,6013,3939,422,0
"S380",1450,949,945,0,0
"S381",1761,809,1475,0,104
"S382",1422,1247,1350,135,0
"S383",2048,800,1039,11,0
"S384",2786,1736,2444,1140,0
