"","query","superkingdom","kingdom","subkingdom","phylum","class","subclass","order","suborder","family","subfamily","tribe","genus","species.group","species","subspecies","varietas"
"Taxa01175","Taxa01175","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","Acrodontium","","Acrodontium luzulae","",""
"Taxa01176","Taxa01176","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Filobasidiales","","Filobasidiaceae","","","Filobasidium","","Filobasidium wieringae","",""
"Taxa01177","Taxa01177","","","","","","","","","","","","","","","",""
"Taxa01178","Taxa01178","Eukaryota","","","","","","","","","","","","","","",""
"Taxa01179","Taxa01179","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","","","","",""
"Taxa01180","Taxa01180","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa01181","Taxa01181","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Exidiaceae","","","Exidia","","Exidia glandulosa","",""
"Taxa01182","Taxa01182","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01183","Taxa01183","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","Gloeosporium","","Gloeosporium orbiculare","",""
"Taxa01184","Taxa01184","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","","",""
"Taxa01185","Taxa01185","","","","","","","","","","","","","","","",""
"Taxa01186","Taxa01186","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Phanerochaetaceae","","","Phanerochaete","","","",""
"Taxa01187","Taxa01187","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","Tetraplosphaeriaceae","","","","","","",""
"Taxa01188","Taxa01188","","","","","","","","","","","","","","","",""
"Taxa01189","Taxa01189","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01190","Taxa01190","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Bulleribasidiaceae","","","Bulleribasidium","","","",""
"Taxa01191","Taxa01191","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","","","","","","","",""
"Taxa01192","Taxa01192","","","","","","","","","","","","","","","",""
"Taxa01193","Taxa01193","","","","","","","","","","","","","","","",""
"Taxa01194","Taxa01194","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Peniophoraceae","","","Peniophora","","","",""
"Taxa01195","Taxa01195","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Cantharellales","","Ceratobasidiaceae","","","Ceratobasidium","","","",""
"Taxa01196","Taxa01196","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Exidiaceae","","","Exidia","","Exidia uvapassa","",""
"Taxa01197","Taxa01197","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01198","Taxa01198","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Dothideales","","Saccotheciaceae","","","Aureobasidium","","","",""
"Taxa01199","Taxa01199","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Peniophoraceae","","","Peniophora","","Peniophora cinerea","",""
"Taxa01200","Taxa01200","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","Lophiostomataceae","","","Lophiostoma","","","",""
"Taxa01201","Taxa01201","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Cantharellales","","Ceratobasidiaceae","","","","","","",""
"Taxa01202","Taxa01202","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","Retiarius","","","",""
"Taxa01203","Taxa01203","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","Diatrypaceae","","","Eutypella","","","",""
"Taxa01204","Taxa01204","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","","","","","","","","","",""
"Taxa01205","Taxa01205","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","STD_ITSasco01","",""
"Taxa01206","Taxa01206","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","Nectriaceae","","","Fusarium","","","",""
"Taxa01207","Taxa01207","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","Sporobolomyces","","Sporobolomyces sp. (in: Microbotryomycetes)","",""
"Taxa01208","Taxa01208","Eukaryota","Fungi","Dikarya","Basidiomycota","","","","","","","","","","","",""
"Taxa01209","Taxa01209","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","Nectriaceae","","","Fusarium","","","",""
"Taxa01210","Taxa01210","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","Diatrypaceae","","","","","","",""
"Taxa01211","Taxa01211","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Stereaceae","","","Stereum","","","",""
"Taxa01212","Taxa01212","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","","","","Diplomitoporus","","Diplomitoporus rimosus","",""
"Taxa01213","Taxa01213","","","","","","","","","","","","","","","",""
"Taxa01214","Taxa01214","Eukaryota","Fungi","Dikarya","Basidiomycota","Classiculomycetes","","Classiculales","","Classiculaceae","","","","","","",""
"Taxa01215","Taxa01215","","","","","","","","","","","","","","","",""
"Taxa01216","Taxa01216","","","","","","","","","","","","","","","",""
"Taxa01217","Taxa01217","","","","","","","","","","","","","","","",""
"Taxa01218","Taxa01218","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Tubulicrinaceae","","","Tubulicrinis","","","",""
"Taxa01219","Taxa01219","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Meruliaceae","","","Phlebia","","Phlebia livida","Phlebia livida subsp. tuberculata",""
"Taxa01220","Taxa01220","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Polyporaceae","","","Trametes","","","",""
"Taxa01221","Taxa01221","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","STD_ITSasco02","",""
"Taxa01222","Taxa01222","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Massarineae","Didymosphaeriaceae","","","Paraphaeosphaeria","","","",""
"Taxa01223","Taxa01223","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Myriangiales","","Myriangiaceae","","","","","","",""
"Taxa01224","Taxa01224","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","Microcyclosporella","","","",""
"Taxa01225","Taxa01225","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01226","Taxa01226","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01227","Taxa01227","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Bulleribasidiaceae","","","Bulleribasidium","","","",""
"Taxa01228","Taxa01228","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Trimorphomycetaceae","","","Saitozyma","","Saitozyma flava","",""
"Taxa01229","Taxa01229","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01230","Taxa01230","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","","",""
"Taxa01231","Taxa01231","Eukaryota","Fungi","Dikarya","Basidiomycota","Atractiellomycetes","","Atractiellales","","Helicogloeaceae","","","Helicogloea","","","",""
"Taxa01232","Taxa01232","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricostilbomycetes","","","","","","","Sporobolomyces","","","",""
"Taxa01233","Taxa01233","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","","","","",""
"Taxa01234","Taxa01234","","","","","","","","","","","","","","","",""
"Taxa01235","Taxa01235","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Auriculariaceae","","","Auricularia","","","",""
"Taxa01236","Taxa01236","Eukaryota","","","","Chrysophyceae","","Chromulinales","","Chromulinaceae","","","Spumella","","","",""
"Taxa01237","Taxa01237","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Polyporaceae","","","","","","",""
"Taxa01238","Taxa01238","","","","","","","","","","","","","","","",""
"Taxa01239","Taxa01239","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","","","","",""
"Taxa01240","Taxa01240","","","","","","","","","","","","","","","",""
"Taxa01241","Taxa01241","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","Sphaerulina","","","",""
"Taxa01242","Taxa01242","","","","","","","","","","","","","","","",""
"Taxa01243","Taxa01243","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Trimorphomycetaceae","","","Saitozyma","","","",""
"Taxa01244","Taxa01244","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Meruliaceae","","","Phlebia","","","",""
"Taxa01245","Taxa01245","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","","","","","","","",""
"Taxa01246","Taxa01246","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","","","","","","Curvibasidium","","","",""
"Taxa01247","Taxa01247","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Exidiaceae","","","","","","",""
"Taxa01248","Taxa01248","Eukaryota","Fungi","Dikarya","Ascomycota","Saccharomycetes","","Saccharomycetales","","","","","Candida","","","",""
"Taxa01249","Taxa01249","","","","","","","","","","","","","","","",""
"Taxa01250","Taxa01250","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01251","Taxa01251","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","","",""
"Taxa01252","Taxa01252","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Dissoconiaceae","","","Dissoconium","","","",""
"Taxa01253","Taxa01253","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Cystofilobasidiales","","Mrakiaceae","","","Mrakia","","Mrakia aquatica","",""
"Taxa01254","Taxa01254","Eukaryota","Fungi","Dikarya","","","","","","","","","","","","",""
"Taxa01255","Taxa01255","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Stereaceae","","","Stereum","","","",""
"Taxa01256","Taxa01256","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","Hypoxylaceae","","","Annulohypoxylon","","","",""
"Taxa01257","Taxa01257","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa01258","Taxa01258","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Stereaceae","","","Stereum","","","",""
"Taxa01259","Taxa01259","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01260","Taxa01260","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Auriculariaceae","","","Auricularia","","","",""
"Taxa01261","Taxa01261","Eukaryota","Fungi","Dikarya","Ascomycota","Leotiomycetes","","Helotiales","","Cenangiaceae","","","Cenangium","","Cenangium ferruginosum","",""
"Taxa01262","Taxa01262","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01263","Taxa01263","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Xylariomycetidae","Xylariales","","Xylariaceae","","","","","","",""
"Taxa01264","Taxa01264","Eukaryota","Fungi","Dikarya","Ascomycota","Eurotiomycetes","Chaetothyriomycetidae","Chaetothyriales","","Herpotrichiellaceae","","","Exophiala","","Exophiala xenobiotica","",""
"Taxa01265","Taxa01265","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01266","Taxa01266","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01267","Taxa01267","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Sebacinales","","","","","Chaetospermum","","","",""
"Taxa01268","Taxa01268","Eukaryota","Fungi","Dikarya","Ascomycota","Taphrinomycetes","","Taphrinales","","Taphrinaceae","","","Taphrina","","","",""
"Taxa01269","Taxa01269","","","","","","","","","","","","","","","",""
"Taxa01270","Taxa01270","","","","","","","","","","","","","","","",""
"Taxa01271","Taxa01271","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","","","","","","","",""
"Taxa01272","Taxa01272","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01273","Taxa01273","Eukaryota","Fungi","Dikarya","Basidiomycota","Exobasidiomycetes","","Georgefischeriales","","Tilletiariaceae","","","Phragmotaenium","","Phragmotaenium flavum","",""
"Taxa01274","Taxa01274","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01275","Taxa01275","","","","","","","","","","","","","","","",""
"Taxa01276","Taxa01276","Eukaryota","Fungi","Dikarya","Ascomycota","Arthoniomycetes","","Lichenostigmatales","","Phaeococcomycetaceae","","","Phaeococcomyces","","Phaeococcomyces eucalypti","",""
"Taxa01277","Taxa01277","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01278","Taxa01278","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01279","Taxa01279","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","Catenulostroma","","","",""
"Taxa01280","Taxa01280","Eukaryota","Fungi","","Chytridiomycota","Chytridiomycetes","","Rhizophydiales","","","","","","","","",""
"Taxa01281","Taxa01281","","","","","","","","","","","","","","","",""
"Taxa01282","Taxa01282","","","","","","","","","","","","","","","",""
"Taxa01283","Taxa01283","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Stereaceae","","","Amylostereum","","","",""
"Taxa01284","Taxa01284","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","Agaricomycetidae","Agaricales","","Clavariaceae","","","Mucronella","","","",""
"Taxa01285","Taxa01285","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Hymenochaetaceae","","","Fuscoporia","","","",""
"Taxa01286","Taxa01286","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Bulleribasidiaceae","","","Hannaella","","Hannaella zeae","",""
"Taxa01287","Taxa01287","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","","","","","","","",""
"Taxa01288","Taxa01288","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Tubulicrinaceae","","","Tubulicrinis","","","",""
"Taxa01289","Taxa01289","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01290","Taxa01290","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Glomerellales","","Plectosphaerellaceae","","","","","","",""
"Taxa01291","Taxa01291","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01292","Taxa01292","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","","",""
"Taxa01293","Taxa01293","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01294","Taxa01294","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","","",""
"Taxa01295","Taxa01295","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01296","Taxa01296","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01297","Taxa01297","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01298","Taxa01298","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Phaeosphaeriaceae","","","Ophiosphaerella","","","",""
"Taxa01299","Taxa01299","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Cystofilobasidiales","","Cystofilobasidiaceae","","","Cystofilobasidium","","Cystofilobasidium macerans","",""
"Taxa01300","Taxa01300","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa01301","Taxa01301","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Auriculariaceae","","","Auricularia","","","",""
"Taxa01302","Taxa01302","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01303","Taxa01303","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","","","","",""
"Taxa01304","Taxa01304","Eukaryota","Fungi","Dikarya","Ascomycota","Leotiomycetes","","","","","","","","","","",""
"Taxa01305","Taxa01305","Eukaryota","Fungi","Dikarya","Ascomycota","Eurotiomycetes","Chaetothyriomycetidae","Chaetothyriales","","","","","","","","",""
"Taxa01306","Taxa01306","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","","","","","","","","","","",""
"Taxa01307","Taxa01307","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Tubulicrinaceae","","","Tubulicrinis","","","",""
"Taxa01308","Taxa01308","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","","","","","","","",""
"Taxa01309","Taxa01309","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","Cordycipitaceae","","","Beauveria","","Beauveria bassiana","",""
"Taxa01310","Taxa01310","","","","","","","","","","","","","","","",""
"Taxa01311","Taxa01311","","","","","","","","","","","","","","","",""
"Taxa01312","Taxa01312","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Mycosphaerellaceae","","","Sphaerulina","","","",""
"Taxa01313","Taxa01313","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Exidiaceae","","","","","","",""
"Taxa01314","Taxa01314","Eukaryota","Fungi","Dikarya","Basidiomycota","Classiculomycetes","","Classiculales","","Classiculaceae","","","","","","",""
"Taxa01315","Taxa01315","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","Erythrobasidiales","","Erythrobasidiaceae","","","Erythrobasidium","","","",""
"Taxa01316","Taxa01316","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Mytilinidiales","","Mytilinidiaceae","","","Lophium","","","",""
"Taxa01317","Taxa01317","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","Torulaceae","","","Dendryphion","","","",""
"Taxa01318","Taxa01318","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Steccherinaceae","","","Cabalodontia","","","",""
"Taxa01319","Taxa01319","Eukaryota","Fungi","Dikarya","Basidiomycota","","","","","","","","","","","",""
"Taxa01320","Taxa01320","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa01321","Taxa01321","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa01322","Taxa01322","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","","","","","","","","","","",""
"Taxa01323","Taxa01323","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","Stachybotryaceae","","","","","","",""
"Taxa01324","Taxa01324","Eukaryota","Fungi","Dikarya","Ascomycota","Taphrinomycetes","","Taphrinales","","Taphrinaceae","","","Taphrina","","","",""
"Taxa01325","Taxa01325","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Auriculariaceae","","","Tremellochaete","","","",""
"Taxa01326","Taxa01326","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01327","Taxa01327","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Polyporaceae","","","Yuchengia","","Yuchengia narymica","",""
"Taxa01328","Taxa01328","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Teratosphaeriaceae","","","Devriesia","","Devriesia americana","",""
"Taxa01329","Taxa01329","","","","","","","","","","","","","","","",""
"Taxa01330","Taxa01330","Eukaryota","Fungi","Dikarya","Basidiomycota","Exobasidiomycetes","","Entylomatales","","","","","Tilletiopsis","","","",""
"Taxa01331","Taxa01331","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Lachnocladiaceae","","","Asterostroma","","Asterostroma cervicolor","",""
"Taxa01332","Taxa01332","Eukaryota","Fungi","Dikarya","Ascomycota","Eurotiomycetes","Eurotiomycetidae","Eurotiales","","Aspergillaceae","","","Penicillium","","","",""
"Taxa01333","Taxa01333","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa01334","Taxa01334","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Polyporales","","Meruliaceae","","","Mycoacia","","Mycoacia fuscoatra","",""
"Taxa01335","Taxa01335","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01336","Taxa01336","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Peniophoraceae","","","Peniophora","","","",""
"Taxa01337","Taxa01337","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa01338","Taxa01338","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa01339","Taxa01339","","","","","","","","","","","","","","","",""
"Taxa01340","Taxa01340","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","Shiraia","","","",""
"Taxa01341","Taxa01341","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Hericiaceae","","","Dentipellis","","","",""
"Taxa01342","Taxa01342","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Auriculariaceae","","","Auricularia","","","",""
"Taxa01343","Taxa01343","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Sordariomycetidae","Diaporthales","","Diaporthaceae","","","Diaporthe","","Diaporthe sp. CZ-2018","",""
"Taxa01344","Taxa01344","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","Exidiaceae","","","Exidia","","Exidia uvapassa","",""
"Taxa01345","Taxa01345","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","Erythrobasidiales","","Erythrobasidiaceae","","","Erythrobasidium","","","",""
"Taxa01346","Taxa01346","Eukaryota","Fungi","Dikarya","Ascomycota","Eurotiomycetes","Chaetothyriomycetidae","Phaeomoniellales","","Phaeomoniellaceae","","","","","","",""
"Taxa01347","Taxa01347","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa01348","Taxa01348","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Russulales","","Stereaceae","","","Stereum","","","",""
"Taxa01349","Taxa01349","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","","","","","","","","","","",""
"Taxa01350","Taxa01350","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa01351","Taxa01351","","","","","","","","","","","","","","","",""
"Taxa01352","Taxa01352","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Cladosporiaceae","","","","","","",""
"Taxa01353","Taxa01353","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Conioscyphales","","Conioscyphaceae","","","Conioscypha","","","",""
"Taxa01354","Taxa01354","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","Hypocreomycetidae","Hypocreales","","","","","","","","",""
"Taxa01355","Taxa01355","","","","","","","","","","","","","","","",""
"Taxa01356","Taxa01356","Eukaryota","Fungi","","","","","","","","","","","","","",""
"Taxa01357","Taxa01357","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","","","","","","","","","","",""
"Taxa01358","Taxa01358","","","","","","","","","","","","","","","",""
"Taxa01359","Taxa01359","","","","","","","","","","","","","","","",""
"Taxa01360","Taxa01360","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Auriculariales","","","","","","","","",""
"Taxa01361","Taxa01361","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa01362","Taxa01362","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Didymellaceae","","","Stagonosporopsis","","Stagonosporopsis cucurbitacearum","",""
"Taxa01363","Taxa01363","Eukaryota","Fungi","Dikarya","Ascomycota","Sordariomycetes","","","","","","","","","","",""
"Taxa01364","Taxa01364","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","","","","","","","",""
"Taxa01365","Taxa01365","Eukaryota","Fungi","Dikarya","Basidiomycota","","","","","","","","","","","",""
"Taxa01366","Taxa01366","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Massarineae","Didymosphaeriaceae","","","Spegazzinia","","","",""
