"","query","superkingdom","kingdom","subkingdom","phylum","class","subclass","order","suborder","family","subfamily","tribe","genus","species.group","species","subspecies","varietas"
"Taxa00750","Taxa00750","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","Pleosporineae","Phaeosphaeriaceae","","","Ophiosphaerella","","","",""
"Taxa00751","Taxa00751","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","Agaricomycetidae","Agaricales","","Schizophyllaceae","","","Schizophyllum","","","",""
"Taxa00752","Taxa00752","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Dothideomycetidae","Capnodiales","","Dissoconiaceae","","","Uwebraunia","","","",""
"Taxa00753","Taxa00753","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","Bulleribasidiaceae","","","Hannaella","","Hannaella oryzae","",""
"Taxa00754","Taxa00754","Eukaryota","Fungi","Dikarya","Basidiomycota","Microbotryomycetes","","Sporidiobolales","","Sporidiobolaceae","","","Rhodotorula","","","",""
"Taxa00755","Taxa00755","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","","","","","","","","","",""
"Taxa00756","Taxa00756","Eukaryota","Fungi","Dikarya","Ascomycota","Dothideomycetes","Pleosporomycetidae","Pleosporales","","","","","","","","",""
"Taxa00757","Taxa00757","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycetes","","Hymenochaetales","","Tubulicrinaceae","","","Tubulicrinis","","","",""
"Taxa00758","Taxa00758","","","","","","","","","","","","","","","",""
"Taxa00759","Taxa00759","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00760","Taxa00760","","","","","","","","","","","","","","","",""
"Taxa00761","Taxa00761","","","","","","","","","","","","","","","",""
"Taxa00762","Taxa00762","","","","","","","","","","","","","","","",""
"Taxa00763","Taxa00763","Eukaryota","Fungi","Dikarya","Ascomycota","","","","","","","","","","","",""
"Taxa00764","Taxa00764","","","","","","","","","","","","","","","",""
"Taxa00765","Taxa00765","","","","","","","","","","","","","","","",""
"Taxa00766","Taxa00766","Eukaryota","Fungi","Dikarya","Basidiomycota","Tremellomycetes","","Tremellales","","","","","","","","",""
"Taxa00767","Taxa00767","Eukaryota","Fungi","Dikarya","Basidiomycota","Cystobasidiomycetes","","Erythrobasidiales","","Erythrobasidiaceae","","","Erythrobasidium","","","",""
