"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S361",12300,5111,4141,2932,325
"S362",4350,4574,2622,1436,114
"S363",15448,5799,4863,3660,447
"S364",15384,6518,4935,3350,401
"S365",16756,7381,5120,4095,454
"S366",18145,7463,6572,4134,497
"S367",12534,5600,3716,1854,317
"S368",8910,5123,3807,2302,233
"S369",0,0,0,0,0
"S370",0,0,0,0,0
"S371",0,0,0,0,0
"S372",0,0,0,0,0
"S373",0,0,0,0,0
"S374",0,0,0,0,0
"S375",0,0,0,0,0
"S376",0,0,0,0,0
"S377",13945,6100,5000,3539,388
"S378",3624,2765,2155,1008,97
"S379",13097,5473,3552,3108,436
"S380",12063,5419,3843,2923,365
"S381",11202,5489,3691,2704,351
"S382",13556,5673,4904,3278,402
"S383",11261,5104,3989,2728,324
"S384",9889,4913,3823,2427,281
