"query","superkingdom","kingdom","subkingdom","phylum","superclass","class","subclass","infraclass","superorder","order","suborder","infraorder","parvorder","superfamily","family","subfamily","tribe","genus","subgenus","species"
"Taxa00001","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Microglena","",""
"Taxa00002","","","","","","","","","","","","","","","","","","","","STD_Euk01"
"Taxa00003","Eukaryota","","","","","","","","","","","","","","","","","","","STD_Euk02"
"Taxa00004","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","","",""
"Taxa00005","","","","","","","","","","","","","","","","","","","","STD_Euk03"
"Taxa00006","Eukaryota","","","Cryptophyta","","","","","","Cryptomonadales","","","","","Cryptomonadaceae","","","","",""
"Taxa00007","Eukaryota","Viridiplantae","","","","","","","","","","","","","","","","","","STD_Euk04"
"Taxa00008","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00009","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","","",""
"Taxa00010","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","Chlamydomonas","",""
"Taxa00011","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","","","","","",""
"Taxa00012","Eukaryota","","","","","","","","","","","","","","","","","","",""
"Taxa00013","Eukaryota","","","","","","","","","Vampyrellida","","","","","Leptophryidae","","","","",""
"Taxa00014","Eukaryota","Fungi","","","","","","","","","","","","","","","","","",""
"Taxa00015","Eukaryota","Viridiplantae","","","","","","","","","","","","","","","","","","STD_Euk05"
"Taxa00016","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Sphaeropleales","","","","","Scenedesmaceae","","","","",""
"Taxa00017","Eukaryota","Metazoa","","Rotifera","","Monogononta","","","Pseudotrocha","Ploima","","","","","","","","","",""
"Taxa00018","Eukaryota","","","","","","","","","","","","","","Nucleariidae","","","Nuclearia","",""
"Taxa00019","Eukaryota","Viridiplantae","","","","","","","","","","","","","","","","","",""
"Taxa00020","Eukaryota","Metazoa","","Arthropoda","","Insecta","","","","","","","","","","","","","",""
"Taxa00021","Eukaryota","","","","","Oligohymenophorea","Peritrichia","","","","","","","","","","","","",""
"Taxa00022","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","Chlamydomonadaceae","","","","",""
"Taxa00023","Eukaryota","Viridiplantae","","Chlorophyta","","Chlorophyceae","","","","Chlamydomonadales","","","","","","","","","",""
