Sample name	Total reads	Total base	Average length	Median length	Var of length	Std of length	Max length	Min length
OsaUC2_Index166_R1.fastq	61	9211	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index167_R1.fastq	32	4832	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index168_R1.fastq	287	43337	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index169_R1.fastq	69	10419	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index170_R1.fastq	343	51793	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index171_R1.fastq	444	67044	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index172_R1.fastq	72	10872	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index173_R1.fastq	130	19630	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index174_R1.fastq	76	11476	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index175_R1.fastq	55	8305	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index176_R1.fastq	98	14798	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index177_R1.fastq	148	22348	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index178_R1.fastq	63	9513	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index179_R1.fastq	484	73084	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index099_R1.fastq	119557	18053107	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index100_R1.fastq	94	14194	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index101_R1.fastq	2423	365873	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index102_R1.fastq	247	37297	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index103_R1.fastq	316	47716	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index104_R1.fastq	175	26425	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index105_R1.fastq	48	7248	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index106_R1.fastq	211	31861	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index107_R1.fastq	257	38807	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index108_R1.fastq	85	12835	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index109_R1.fastq	1344598	203034298	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index110_R1.fastq	363	54813	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index111_R1.fastq	176	26576	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index112_R1.fastq	78	11778	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index113_R1.fastq	478	72178	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index114_R1.fastq	42	6342	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index115_R1.fastq	581	87731	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index116_R1.fastq	213	32163	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index117_R1.fastq	16863108	2546329308	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index118_R1.fastq	853	128803	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index119_R1.fastq	1213	183163	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index044_R1.fastq	292	44092	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index045_R1.fastq	409	61759	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index046_R1.fastq	82	12382	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index047_R1.fastq	176	26576	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index048_R1.fastq	212	32012	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index049_R1.fastq	18734000	2828834000	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index050_R1.fastq	294	44394	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index051_R1.fastq	103	15553	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index052_R1.fastq	630	95130	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index053_R1.fastq	91	13741	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index054_R1.fastq	83	12533	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index055_R1.fastq	205	30955	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index056_R1.fastq	74	11174	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index057_R1.fastq	19334461	2919503611	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index059_R1.fastq	739	111589	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index060_R1.fastq	74	11174	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index061_R1.fastq	467	70517	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index062_R1.fastq	98	14798	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index063_R1.fastq	17461774	2636727874	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index064_R1.fastq	6100497	921175047	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index065_R1.fastq	8975269	1355265619	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index066_R1.fastq	9802725	1480211475	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index067_R1.fastq	8157206	1231738106	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index068_R1.fastq	6082487	918455537	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index069_R1.fastq	13465599	2033305449	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index070_R1.fastq	6289596	949728996	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index071_R1.fastq	12321585	1860559335	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index072_R1.fastq	6572766	992487666	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index074_R1.fastq	30875799	4662245649	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index075_R1.fastq	15627433	2359742383	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index076_R1.fastq	7428965	1121773715	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index077_R1.fastq	4138770	624954270	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index078_R1.fastq	3337751	504000401	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index079_R1.fastq	10099963	1525094413	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index080_R1.fastq	15504168	2341129368	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index081_R1.fastq	9551204	1442231804	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index082_R1.fastq	4161809	628433159	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index083_R1.fastq	4908301	741153451	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index084_R1.fastq	4930483	744502933	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index085_R1.fastq	10535263	1590824713	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index086_R1.fastq	10202588	1540590788	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index087_R1.fastq	3894086	588006986	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index088_R1.fastq	6868034	1037073134	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index089_R1.fastq	76	11476	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index090_R1.fastq	92	13892	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index091_R1.fastq	72	10872	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index092_R1.fastq	2131	321781	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index093_R1.fastq	91	13741	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index094_R1.fastq	166	25066	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index095_R1.fastq	100	15100	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index096_R1.fastq	1328	200528	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index097_R1.fastq	165903	25051353	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index022_R1.fastq	3916879	591448729	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index023_R1.fastq	3013084	454975684	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index024_R1.fastq	3050153	460573103	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index025_R1.fastq	2597531	392227181	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index026_R1.fastq	4612011	696413661	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index027_R1.fastq	5822474	879193574	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index028_R1.fastq	5960853	900088803	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index029_R1.fastq	2262391	341621041	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index030_R1.fastq	2602587	392990637	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index031_R1.fastq	1804470	272474970	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index032_R1.fastq	1634453	246802403	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index033_R1.fastq	3229656	487678056	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index034_R1.fastq	1523464	230043064	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index035_R1.fastq	153961	23248111	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index036_R1.fastq	289	43639	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index037_R1.fastq	56	8456	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index038_R1.fastq	400	60400	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index039_R1.fastq	67	10117	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index040_R1.fastq	459	69309	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index041_R1.fastq	15760695	2379864945	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index042_R1.fastq	169	25519	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index181_R1.fastq	145	21895	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index182_R1.fastq	367	55417	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index183_R1.fastq	259	39109	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index184_R1.fastq	164	24764	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index185_R1.fastq	79	11929	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index186_R1.fastq	234	35334	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index187_R1.fastq	46	6946	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index188_R1.fastq	51	7701	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index189_R1.fastq	222	33522	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index190_R1.fastq	88	13288	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index191_R1.fastq	346	52246	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index192_R1.fastq	58	8758	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index193_R1.fastq	160	24160	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index194_R1.fastq	65	9815	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index195_R1.fastq	7505	1133255	151.0	151.0	0.0	0.0	151	151
OsaUC2_Index196_R1.fastq	211	31861	151.0	151.0	0.0	0.0	151	151
Sum	463357547	69966989597	151.0	151.0	0.0	0.0	151	151
