Sample name	Total reads	Total base	Average length	Median length	Var of length	Std of length	Max length	Min length
Index032_1	1587718	237445711	149.55	151.0	40.17	6.34	151	100
Index033_1	3180393	476666924	149.88	151.0	30.68	5.54	151	100
Index034_1	1490273	223014285	149.65	151.0	37.17	6.1	151	100
Index035_1	150287	22502484	149.73	151.0	34.22	5.85	151	100
Index036_1	267	39633	148.44	151.0	59.23	7.7	151	103
Index037_1	53	7876	148.6	151.0	63.14	7.95	151	108
Index038_1	372	55586	149.42	151.0	48.43	6.96	151	103
Index039_1	66	9949	150.74	151.0	0.34	0.59	151	148
Index040_1	438	65252	148.98	151.0	56.76	7.53	151	101
Index050_1	278	41150	148.02	151.0	69.11	8.31	151	102
Index051_1	100	14861	148.61	151.0	57.54	7.59	151	106
Index052_1	596	89274	149.79	151.0	29.6	5.44	151	106
Index053_1	83	12303	148.23	151.0	77.89	8.83	151	104
Index054_1	82	12324	150.29	151.0	9.48	3.08	151	130
Index055_1	186	27690	148.87	151.0	45.12	6.72	151	111
Index056_1	72	10611	147.38	151.0	93.71	9.68	151	110
Index057_1	19021861	2849903763	149.82	151.0	30.59	5.53	151	100
Index058_1	562	84211	149.84	151.0	30.52	5.52	151	102
Index059_1	708	105593	149.14	151.0	57.43	7.58	151	100
Index060_1	67	9896	147.7	151.0	113.25	10.64	151	100
Index070_1	6159744	922717707	149.8	151.0	31.38	5.6	151	100
Index071_1	12078346	1808996530	149.77	151.0	32.25	5.68	151	100
Index072_1	6471355	969793823	149.86	151.0	30.15	5.49	151	100
Index073_1	4823580	722187673	149.72	151.0	34.71	5.89	151	100
Index074_1	30392551	4554157443	149.84	151.0	29.68	5.45	151	100
Index075_1	15297512	2291342866	149.79	151.0	31.66	5.63	151	100
Index076_1	7268856	1088320875	149.72	151.0	33.77	5.81	151	100
Index077_1	4033346	602745986	149.44	151.0	42.61	6.53	151	100
Index078_1	3255187	486782924	149.54	151.0	41.13	6.41	151	100
Index079_1	9902854	1483619065	149.82	151.0	31.56	5.62	151	100
Index080_1	15224094	2281809329	149.88	151.0	29.12	5.4	151	100
Index090_1	90	13356	148.4	151.0	98.62	9.93	151	101
Index091_1	61	9129	149.66	151.0	29.64	5.44	151	112
Index092_1	2100	314719	149.87	151.0	28.54	5.34	151	101
Index093_1	90	13471	149.68	151.0	43.84	6.62	151	102
Index094_1	159	23534	148.01	151.0	90.16	9.5	151	101
Index095_1	93	13913	149.6	151.0	31.55	5.62	151	106
Index096_1	1241	185265	149.29	151.0	50.45	7.1	151	100
Index097_1	164971	24795584	150.3	151.0	17.02	4.13	151	100
Index098_1	148841	22400581	150.5	151.0	10.27	3.21	151	100
Index099_1	117282	17566047	149.78	151.0	34.17	5.85	151	100
Index100_1	87	12918	148.48	151.0	66.92	8.18	151	109
Index110_1	349	52431	150.23	151.0	19.44	4.41	151	105
Index111_1	166	24756	149.13	151.0	54.07	7.35	151	106
Index112_1	74	10974	148.3	151.0	87.4	9.35	151	108
Index113_1	443	66218	149.48	151.0	43.55	6.6	151	100
Index114_1	39	5876	150.67	151.0	1.71	1.31	151	143
Index115_1	535	79723	149.01	151.0	51.71	7.19	151	100
Index116_1	197	29147	147.95	151.0	73.25	8.56	151	103
Index117_1	16559772	2479952285	149.76	151.0	32.38	5.69	151	100
Index118_1	844	126654	150.06	151.0	25.28	5.03	151	101
Index119_1	1188	178146	149.95	151.0	27.42	5.24	151	100
Index120_1	583	86381	148.17	151.0	58.63	7.66	151	102
Index130_1	136	20127	147.99	151.0	78.29	8.85	151	108
Index131_1	109	16330	149.82	151.0	27.62	5.26	151	105
Index132_1	49	7373	150.47	151.0	2.86	1.69	151	140
Index133_1	12692673	1901022374	149.77	151.0	32.07	5.66	151	100
Index134_1	635	95155	149.85	151.0	29.74	5.45	151	100
Index135_1	2116	317039	149.83	151.0	31.43	5.61	151	100
Index136_1	150	22316	148.77	151.0	57.4	7.58	151	101
Index137_1	212	31916	150.55	151.0	12.59	3.55	151	100
Index138_1	100	14842	148.42	151.0	90.24	9.5	151	100
Index139_1	103	15394	149.46	151.0	50.73	7.12	151	105
Index140_1	103	15490	150.39	151.0	24.08	4.91	151	101
Index150_1	1088	163044	149.86	151.0	32.28	5.68	151	100
Index151_1	249	37412	150.25	151.0	19.46	4.41	151	107
Index152_1	176	26304	149.45	151.0	40.05	6.33	151	114
Index153_1	30	4486	149.53	151.0	41.38	6.43	151	115
Index154_1	44	6592	149.82	151.0	19.97	4.47	151	128
Index155_1	113	16970	150.18	151.0	10.69	3.27	151	130
Index156_1	812	121717	149.9	151.0	26.41	5.14	151	106
Index157_1	300	44404	148.01	151.0	77.49	8.8	151	101
Index158_1	187	28140	150.48	151.0	7.33	2.71	151	125
Index159_1	39	5848	149.95	151.0	27.18	5.21	151	118
Index160_1	59	8811	149.34	151.0	60.19	7.76	151	108
Index179_1	465	69584	149.64	151.0	38.91	6.24	151	108
Index180_1	467	70121	150.15	151.0	21.35	4.62	151	104
Index181_1	136	20409	150.07	151.0	16.83	4.1	151	108
Index182_1	356	53524	150.35	151.0	14.18	3.77	151	106
Index183_1	238	35617	149.65	151.0	28.47	5.34	151	113
Index184_1	154	22983	149.24	151.0	55.55	7.45	151	100
Index185_1	75	11307	150.76	151.0	0.26	0.51	151	148
Index186_1	215	32348	150.46	151.0	9.53	3.09	151	120
Index187_1	45	6763	150.29	151.0	13.54	3.68	151	126
Index170_1	324	48412	149.42	151.0	36.85	6.07	151	106
Index171_1	423	63042	149.04	151.0	54.11	7.36	151	102
Index172_1	61	9168	150.3	151.0	11.91	3.45	151	124
Index173_1	120	17709	147.57	151.0	89.71	9.47	151	101
Index174_1	73	10854	148.68	151.0	62.79	7.92	151	105
Index175_1	49	7353	150.06	151.0	10.71	3.27	151	130
Index176_1	95	14223	149.72	151.0	33.15	5.76	151	107
Index177_1	136	20117	147.92	151.0	78.93	8.88	151	101
Index178_1	63	9481	150.49	151.0	4.95	2.22	151	134
Index188_1	47	7061	150.23	151.0	12.99	3.6	151	126
Index189_1	207	31005	149.78	151.0	24.25	4.92	151	111
Index190_1	85	12779	150.34	151.0	7.92	2.81	151	126
Index191_1	318	47596	149.67	151.0	34.13	5.84	151	103
Index192_1	51	7533	147.71	151.0	89.15	9.44	151	104
Index193_1	151	22297	147.66	151.0	100.65	10.03	151	100
Index194_1	65	9738	149.82	151.0	22.58	4.75	151	124
Index195_1	7397	1108742	149.89	151.0	28.57	5.34	151	100
Index196_1	194	28799	148.45	151.0	70.91	8.42	151	103
Sum	454627071	68099147305	149.79	151.0	31.97	5.65	151	100
