Sample name	Total reads	Total base	Average length	Median length	Var of length	Std of length	Max length	Min length
Index001_1	462	68818	148.96	151.0	37.18	6.1	151	111
Index002_1	378	56603	149.74	151.0	35.67	5.97	151	100
Index003_1	186	27931	150.17	151.0	13.98	3.74	151	116
Index004_1	1215	181861	149.68	151.0	35.87	5.99	151	100
Index005_1	155	23077	148.88	151.0	37.65	6.14	151	103
Index006_1	91	13626	149.74	151.0	40.19	6.34	151	107
Index007_1	194	29022	149.6	151.0	38.2	6.18	151	101
Index008_1	348	52003	149.43	151.0	44.08	6.64	151	103
Index009_1	3370406	504838872	149.79	151.0	33.19	5.76	151	100
Index010_1	9493152	1422894884	149.89	151.0	29.11	5.4	151	100
Index021_1	4208576	630075784	149.71	151.0	35.29	5.94	151	100
Index022_1	3832743	573945660	149.75	151.0	33.82	5.82	151	100
Index023_1	2964282	444046275	149.8	151.0	32.15	5.67	151	100
Index024_1	3000676	449509046	149.8	151.0	32.61	5.71	151	100
Index025_1	2546135	381069881	149.67	151.0	37.5	6.12	151	100
Index026_1	4501721	672484282	149.38	151.0	45.64	6.76	151	100
Index027_1	5718439	856720255	149.82	151.0	31.87	5.65	151	100
Index028_1	5874657	880356430	149.86	151.0	30.28	5.5	151	100
Index029_1	2213352	331309608	149.69	151.0	36.17	6.01	151	100
Index041_1	15472664	2317490296	149.78	151.0	31.96	5.65	151	100
Index042_1	150	22342	148.95	151.0	65.61	8.1	151	101
Index043_1	76	11297	148.64	151.0	57.49	7.58	151	107
Index044_1	275	40999	149.09	151.0	49.98	7.07	151	107
Index045_1	383	57397	149.86	151.0	27.46	5.24	151	101
Index046_1	74	11128	150.38	151.0	9.29	3.05	151	127
Index047_1	158	23791	150.58	151.0	3.52	1.88	151	133
Index048_1	194	28478	146.79	151.0	93.42	9.67	151	100
Index049_1	18371207	2750609081	149.72	151.0	33.62	5.8	151	100
Index061_1	456	68305	149.79	151.0	41.24	6.42	151	101
Index062_1	94	14146	150.49	151.0	7.76	2.79	151	127
Index063_1	17128556	2565022375	149.75	151.0	32.9	5.74	151	100
Index064_1	5964608	893113870	149.74	151.0	33.57	5.79	151	100
Index065_1	8808810	1319737583	149.82	151.0	31.26	5.59	151	100
Index066_1	9604723	1438824437	149.8	151.0	31.81	5.64	151	100
Index067_1	8008256	1199959197	149.84	151.0	29.86	5.46	151	100
Index068_1	5961315	892892767	149.78	151.0	32.25	5.68	151	100
Index069_1	13231156	1982490060	149.83	151.0	30.55	5.53	151	100
Index081_1	9374147	1404582229	149.84	151.0	30.32	5.51	151	100
Index082_1	4074313	610023312	149.72	151.0	34.37	5.86	151	100
Index083_1	4785614	716167687	149.65	151.0	36.19	6.02	151	100
Index084_1	4833567	724177240	149.82	151.0	31.64	5.63	151	100
Index085_1	10361156	1552853251	149.87	151.0	29.87	5.47	151	100
Index086_1	9980462	1494815495	149.77	151.0	32.6	5.71	151	100
Index087_1	3810813	570562411	149.72	151.0	34.82	5.9	151	100
Index088_1	6711421	1004895238	149.73	151.0	34.14	5.84	151	100
Index089_1	73	10859	148.75	151.0	73.99	8.6	151	101
Index101_1	2344	350994	149.74	151.0	33.15	5.76	151	100
Index102_1	233	34959	150.04	151.0	16.77	4.09	151	119
Index103_1	307	45707	148.88	151.0	64.08	8.01	151	107
Index104_1	167	24869	148.92	151.0	52.96	7.28	151	101
Index105_1	47	7071	150.45	151.0	6.2	2.49	151	134
Index106_1	200	29355	146.78	151.0	102.49	10.12	151	105
Index107_1	245	36834	150.34	151.0	7.0	2.65	151	127
Index108_1	85	12788	150.45	151.0	7.75	2.78	151	126
Index109_1	1307699	195839509	149.76	151.0	33.22	5.76	151	100
Index121_1	44	6561	149.11	151.0	40.24	6.34	151	118
Index122_1	1717	256685	149.5	151.0	39.46	6.28	151	100
Index123_1	76	11380	149.74	151.0	22.88	4.78	151	117
Index124_1	105	15726	149.77	151.0	37.85	6.15	151	113
Index125_1	18063903	2705917703	149.8	151.0	31.08	5.57	151	100
Index126_1	354	52981	149.66	151.0	37.0	6.08	151	100
Index127_1	87	13049	149.99	151.0	24.72	4.97	151	113
Index128_1	65	9781	150.48	151.0	13.63	3.69	151	121
Index129_1	87	12901	148.29	151.0	76.53	8.75	151	103
Index141_1	161	24146	149.98	151.0	25.65	5.06	151	108
Index142_1	1502	225343	150.03	151.0	23.37	4.83	151	100
Index143_1	74	11134	150.46	151.0	8.38	2.9	151	130
Index144_1	119	17871	150.18	151.0	11.59	3.4	151	127
Index145_1	58	8665	149.4	151.0	37.14	6.09	151	110
Index146_1	140	21012	150.09	151.0	20.81	4.56	151	106
Index147_1	67	10100	150.75	151.0	0.43	0.65	151	147
Index148_1	84	12596	149.95	151.0	20.81	4.56	151	114
Index149_1	121	17913	148.04	151.0	60.73	7.79	151	109
Index161_1	293	43746	149.3	151.0	54.26	7.37	151	102
Index162_1	154	23031	149.55	151.0	48.35	6.95	151	109
Index163_1	144	21535	149.55	151.0	36.89	6.07	151	116
Index164_1	717	107443	149.85	151.0	32.96	5.74	151	101
Index165_1	102	15277	149.77	151.0	26.35	5.13	151	113
Index166_1	55	8206	149.2	151.0	25.11	5.01	151	124
Index167_1	30	4520	150.67	151.0	2.62	1.62	151	142
Index168_1	259	38849	150.0	151.0	26.49	5.15	151	106
Index169_1	66	9803	148.53	151.0	86.13	9.28	151	105
Index011_1	5828194	872922116	149.78	151.0	32.98	5.74	151	100
Index012_1	2955072	442326686	149.68	151.0	35.97	6.0	151	100
Index013_1	7270421	1090229232	149.95	151.0	27.44	5.24	151	100
Index014_1	4611226	691053865	149.86	151.0	30.4	5.51	151	100
Index015_1	9142089	1370024026	149.86	151.0	30.35	5.51	151	100
Index016_1	10431593	1563462730	149.88	151.0	29.28	5.41	151	100
Index017_1	4096855	613850622	149.83	151.0	31.21	5.59	151	100
Index018_1	2840600	425546307	149.81	151.0	31.72	5.63	151	100
Index019_1	4026839	603437132	149.85	151.0	30.26	5.5	151	100
Index020_1	5464574	818788119	149.84	151.0	30.93	5.56	151	100
Index030_1	2543196	380592674	149.65	151.0	37.82	6.15	151	100
Index031_1	1770027	265009210	149.72	151.0	35.26	5.94	151	100
