Sample name	Total reads	Total base	Average length	Median length	Var of length	Std of length	Max length	Min length
Index131_1	9915014	1478730236	149.14	151.0	50.54	7.11	151	100
Index132_1	7304915	1088542024	149.02	151.0	53.18	7.29	151	100
Index133_1	14046	2067697	147.21	151.0	97.65	9.88	151	100
Index134_1	3429993	510816309	148.93	151.0	56.53	7.52	151	100
Index135_1	2826026	421189322	149.04	151.0	52.85	7.27	151	100
Index136_1	6924325	1031649369	148.99	151.0	53.59	7.32	151	100
Index137_1	17317	2536899	146.5	151.0	120.01	10.96	151	100
Index138_1	17838	2608261	146.22	151.0	125.74	11.21	151	100
Index139_1	11863	1740845	146.75	151.0	113.69	10.66	151	100
Index140_1	32971	4883120	148.1	151.0	78.53	8.86	151	100
Index115_1	3620227	539613137	149.06	151.0	52.46	7.24	151	100
Index116_1	8921651	1329475009	149.02	151.0	53.62	7.32	151	100
Index117_1	15797	2330207	147.51	151.0	89.2	9.44	151	100
Index118_1	15613874	2327097446	149.04	151.0	52.42	7.24	151	100
Index119_1	5277644	786758961	149.07	151.0	52.35	7.24	151	100
Index120_1	12346784	1840150447	149.04	151.0	52.43	7.24	151	100
Index121_1	10916863	1626742035	149.01	151.0	53.44	7.31	151	100
Index122_1	5233939	780247192	149.07	151.0	52.11	7.22	151	100
Sum	399845781	59584164374	149.02	151.0	53.43	7.31	151	100
