"date","date_time","plot","treatment","spad1","spad2","spad3","height1","height2","height3","gr1","gr2","gr3","spad_r1","spad_r2","spad_r3"
2019-05-21,2019-05-21 09:33:00,"1","CT",24.8,28,23.1,10.1,11.5,10.4,0.555127216653816,0.111025443330763,0.666152659984579,NA,NA,NA
2019-05-21,2019-05-21 09:33:00,"2","PN",26.6,28.3,29.7,10.3,10,10.1,0.222222222222223,0.222222222222221,0.111111111111111,NA,NA,NA
2019-05-21,2019-05-21 09:34:00,"3","RM",24.5,24.1,26,11.4,11.1,9.9,0.444101773323054,0,0.444101773323054,NA,NA,NA
2019-05-21,2019-05-21 09:34:00,"4","CT",22.3,22.5,25.2,10.9,9.6,10.6,0,0,0.777777777777777,NA,NA,NA
2019-05-21,2019-05-21 09:35:00,"5","PN",27.1,23.4,25.3,9.8,10.1,9.4,0.222222222222223,0.111111111111111,0,NA,NA,NA
2019-05-21,2019-05-21 09:36:00,"6","RM",24.2,26.2,25.2,10.3,9.6,9.6,0.444101773323054,0,0,NA,NA,NA
2019-05-21,2019-05-21 09:36:00,"7","CT",25.3,24.9,28.6,8.9,10.8,8,0.333333333333334,0,0,NA,NA,NA
2019-05-21,2019-05-21 09:37:00,"8","PN",25,22.3,23.3,10.6,9.5,10.1,0.444444444444445,0,0,NA,NA,NA
2019-05-21,2019-05-21 09:38:00,"9","RM",22.7,31.7,24.2,11.3,9,11.6,0,0,0.444101773323054,NA,NA,NA
2019-05-28,2019-05-28 09:31:00,"1","CT",30.9,26.5,35,16.6,17.2,17.2,0.928755705497123,0.8144473109744,0.971621353443143,0.871601508235761,-0.214328239730105,1.7003373685255
2019-05-28,2019-05-28 09:31:00,"2","PN",29.9,28.2,33.3,17.3,18,16.7,1.00019845207382,1.14308394522723,0.943044254812463,0.471522127406231,-0.0142885493153405,0.514387775352252
2019-05-28,2019-05-28 09:32:00,"3","RM",30.9,33.2,33.1,18.9,18,15.7,1.07164119865053,0.985909902758484,0.82873586028974,0.914467156181782,1.30025798769597,1.01448700138916
2019-05-28,2019-05-28 09:32:00,"4","CT",33.2,31.2,28.1,16.3,15.3,18,0.771581663028379,0.8144473109744,1.05735264933519,1.5574518753721,1.24310379043461,0.41436793014487
2019-05-28,2019-05-28 09:33:00,"5","PN",27.4,28.4,28.2,16.2,15.9,13.7,0.914467156181782,0.82873586028974,0.614407620559635,0.0428656479460206,0.714427465767017,0.41436793014487
2019-05-28,2019-05-28 09:33:00,"6","RM",33.1,32.3,33.5,16.6,12.8,15.5,0.900267936885978,0.457278952069068,0.843108067877345,1.2718070854421,0.871688002381661,1.18606728192915
2019-05-28,2019-05-28 09:34:00,"7","CT",31.3,33.2,34.1,18.6,16.9,15.3,1.38598928358801,0.871601508235761,1.04306410001985,0.857312958920421,1.18594959317325,0.785870212343719
2019-05-28,2019-05-28 09:34:00,"8","PN",31.4,26.7,31.6,14.7,14.5,17.6,0.585888657338494,0.714498362607919,1.07174754391188,0.914557904138136,0.628758559094969,1.18606728192915
2019-05-28,2019-05-28 09:35:00,"9","RM",26.2,33.4,32.9,16.5,15.1,18.3,0.743078297112236,0.871688002381661,0.957427805894612,0.500148853825543,0.242929443286692,1.24322715093778
2019-06-04,2019-06-04 09:30:00,"1","CT",39.3,35.4,39.7,23.7,25.3,24.5,1.01438634785197,1.15725766445084,1.04296061117174,1.2001190594305,1.27155471772993,0.671495188014684
2019-06-04,2019-06-04 09:31:00,"2","PN",40.9,39.2,37.4,24.5,24.5,23.4,1.02857142857143,0.928571428571429,0.957142857142857,1.57142857142857,1.57142857142857,0.585714285714286
2019-06-04,2019-06-04 09:32:00,"3","RM",40.7,40.3,38.4,24.7,25.5,25,0.828571428571429,1.07142857142857,1.32857142857143,1.4,1.01428571428571,0.757142857142857
2019-06-04,2019-06-04 09:33:00,"4","CT",39.5,40,39.1,24.5,23.7,24.8,1.17131236980458,1.19988096419006,0.97133220910624,0.899910723142545,1.25701815296102,1.57127269120127
2019-06-04,2019-06-04 09:35:00,"5","PN",38.9,39.6,41.2,26.1,23.5,22.4,1.4140051577068,1.08549890894664,1.24261059313628,1.64253124380083,1.5996826026582,1.85677444951399
2019-06-04,2019-06-04 09:36:00,"6","RM",39.5,38.6,37.9,23.8,18.7,23.9,1.02826539720321,0.842606367152633,1.19964296340375,0.914013686402856,0.899732222552812,0.628384409401963
2019-06-04,2019-06-04 09:37:00,"7","CT",39.5,40,38.9,26.2,21.2,23.7,1.08539125260339,0.614102945551919,1.19964296340375,1.17108003570366,0.971139541803034,0.685510264802142
