"","std_rank1","std_rank2","std_rank3","std_rank4","std_rank5"
"S221",235,272,38,26,0
"S222",1947,1716,165,146,83
"S223",667,906,55,111,62
"S224",704,937,53,52,23
"S225",626,544,173,66,20
"S226",372,529,26,49,0
"S227",502,499,0,38,25
"S228",1618,1639,144,84,52
"S229",346,572,147,48,32
"S230",186,208,0,18,0
"S231",535,698,0,64,34
"S232",99,96,3,6,18
"S233",109,207,63,64,6
"S234",58,73,0,4,0
"S235",340,459,61,26,11
"S236",487,765,84,45,21
"S237",190,189,0,19,0
"S238",126,104,0,0,20
"S239",0,0,0,0,0
"S240",0,0,0,0,0
"S241",237,420,103,0,0
"S242",302,438,36,31,31
"S243",1866,2281,258,235,70
"S244",54,47,0,0,0
"S245",7,20,5,3,0
"S246",159,111,12,11,7
"S247",77,100,0,0,0
"S248",300,339,26,33,16
"S249",105,188,8,0,6
"S250",256,378,55,49,3
"S251",101,70,16,0,3
"S252",152,212,25,13,4
"S253",0,0,0,2,0
"S254",139,182,10,28,11
"S255",17,32,0,0,0
"S256",89,166,9,15,2
"S257",177,193,0,18,4
"S258",289,422,40,23,4
"S259",69,52,4,0,7
"S260",105,133,21,13,0
"S261",491,513,188,44,10
"S262",42,107,7,9,0
"S263",78,89,4,0,0
"S264",150,160,20,0,0
"S265",127,102,38,37,5
"S266",217,304,47,14,7
"S267",152,163,14,19,0
"S268",574,754,72,36,7
"S269",28,56,0,0,0
"S270",122,60,0,0,0
"S271",271,286,33,21,4
"S272",119,171,39,15,6
"S273",248,460,19,24,0
"S274",476,555,105,44,22
"S275",221,362,29,13,27
"S276",313,300,66,0,6
"S277",624,275,29,25,17
"S278",582,799,86,56,3
"S279",9,11,0,0,0
"S280",0,0,0,0,0
"S281",0,0,0,0,0
"S282",558,794,91,63,41
"S283",217,449,74,0,13
"S284",320,281,79,35,9
"S285",38,94,7,0,5
"S286",45,58,4,4,0
"S287",108,50,0,12,0
"S288",18,18,9,0,0
"S289",79,103,32,0,6
"S290",155,188,0,0,6
"S291",36,26,0,0,0
"S292",190,246,31,17,10
"S293",122,105,18,10,0
"S294",63,26,11,6,6
"S295",29,51,6,0,0
"S296",66,44,0,6,6
"S297",335,429,92,26,12
"S298",409,554,0,28,31
"S299",20,65,0,5,0
"S300",27,11,5,0,0
"S301",74,89,9,0,10
"S302",33,42,5,4,0
"S303",364,423,66,10,9
"S304",408,587,63,50,17
"S305",194,345,3,40,0
"S306",78,74,10,0,11
"S307",38,45,0,0,0
"S308",81,111,14,13,7
"S309",823,1002,173,103,49
"S310",47,29,4,0,0
"S311",104,69,36,0,4
"S312",47,43,5,0,0
"S313",47,72,0,2,0
"S314",45,56,2,0,0
"S315",135,135,47,0,0
"S316",270,411,38,16,0
"S317",296,438,14,35,5
"S318",75,83,18,16,0
"S319",0,0,0,0,0
"S320",0,0,0,0,0
"S321",0,0,0,0,0
"S322",196,202,3,16,61
"S323",212,249,27,24,20
"S324",339,356,52,14,6
"S325",37,28,0,0,0
"S326",32,37,6,5,0
"S327",169,287,3,26,0
"S328",185,260,24,17,17
"S329",68,61,15,0,0
"S330",355,495,60,23,3
"S331",220,259,71,19,17
"S332",529,802,78,27,23
"S333",258,358,63,14,0
"S334",389,298,26,45,11
"S335",280,291,30,9,11
"S336",63,123,3,9,0
"S337",148,122,40,0,7
"S338",390,458,57,31,12
"S339",1005,779,185,71,5
"S340",384,514,36,19,6
"S341",51,109,9,15,0
"S342",7166,3921,400,339,172
"S343",15,114,20,0,0
"S344",306,399,41,45,15
"S345",369,432,36,31,10
"S346",1694,2097,273,148,52
"S347",772,1222,113,157,42
"S348",363,427,0,35,0
"S349",151,204,28,0,0
"S350",828,706,128,56,16
"S351",50,61,5,0,14
"S352",453,440,45,65,0
"S353",248,245,44,15,0
"S354",588,802,68,66,0
"S355",368,338,19,18,0
"S356",800,1052,109,81,0
"S357",94,131,18,0,0
"S358",191,293,93,10,14
"S359",6,5,0,0,0
"S360",5,5,0,0,0
"S361",2582,1993,259,124,24
"S362",4683,3293,599,451,27
"S363",16208,14609,1304,1197,299
"S364",2842,1030,0,87,31
"S365",4489,4211,239,580,161
"S366",10245,8253,639,912,199
"S367",1205,1051,152,116,0
"S368",2800,3194,360,385,44
"S369",0,0,0,0,0
"S370",0,0,0,0,0
"S371",0,0,0,0,0
"S372",0,0,0,0,0
"S373",0,0,0,0,0
"S374",0,0,0,0,0
"S375",0,0,0,0,0
"S376",0,0,0,0,0
"S377",3817,1837,9,227,121
"S378",2177,1876,174,261,223
"S379",6467,4684,664,828,161
"S380",1643,974,277,212,59
"S381",2356,1763,199,321,163
"S382",1906,1690,208,265,24
"S383",700,534,13,104,0
"S384",1124,796,167,96,0
