"query","superkingdom","kingdom","subkingdom","phylum","class","subclass","order","suborder","family","tribe","genus","species"
"Taxa00001","Bacteria","","","","","","","","","","","STD_prok05"
"Taxa00002","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","",""
"Taxa00003","Bacteria","","","","","","","","","","","STD_prok04"
"Taxa00004","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodobacterales","","Rhodobacteraceae","","",""
"Taxa00005","Bacteria","","","Verrucomicrobia","Spartobacteria","","","","","","","uncultured Spartobacteria bacterium"
"Taxa00006","Eukaryota","","","","","","","","","","",""
"Taxa00007","Bacteria","","","","","","","","","","","STD_prok03"
"Taxa00008","","","","","","","","","","","",""
"Taxa00009","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Oxalobacteraceae","","",""
"Taxa00010","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","",""
"Taxa00011","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00012","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","",""
"Taxa00013","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","",""
"Taxa00014","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhizobiales","","Beijerinckiaceae","","",""
"Taxa00015","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Rhodospirillaceae","","Azospirillum",""
"Taxa00016","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","Burkholderiaceae","","",""
"Taxa00017","Bacteria","","","Proteobacteria","Betaproteobacteria","","","","","","",""
"Taxa00018","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Caulobacterales","","Caulobacteraceae","","Caulobacter",""
"Taxa00019","Eukaryota","","","","Oomycetes","","Saprolegniales","","Saprolegniaceae","","",""
"Taxa00020","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00021","Bacteria","","","Proteobacteria","Alphaproteobacteria","","","","","","","STD_prok02"
"Taxa00022","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00023","Bacteria","","","","","","","","","","",""
"Taxa00024","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Rhodospirillaceae","","Magnetospirillum",""
"Taxa00025","Bacteria","","","Bacteroidetes","","","","","","","",""
"Taxa00026","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Rhodospirillales","","Rhodospirillaceae","","",""
"Taxa00027","Eukaryota","Viridiplantae","","Chlorophyta","Chlorophyceae","","Chlamydomonadales","","","","",""
"Taxa00028","Eukaryota","Viridiplantae","","Streptophyta","Klebsormidiophyceae","","Klebsormidiales","","Klebsormidiaceae","","Klebsormidium",""
"Taxa00029","Eukaryota","","","Cryptophyta","","","","","","","",""
"Taxa00030","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","Mucilaginibacter",""
"Taxa00031","Bacteria","","","Actinobacteria","Actinobacteria","","","","","","",""
"Taxa00032","Bacteria","","","Bacteroidetes","Sphingobacteriia","","Sphingobacteriales","","Sphingobacteriaceae","","Mucilaginibacter",""
"Taxa00033","Bacteria","","","Verrucomicrobia","Verrucomicrobiae","","Verrucomicrobiales","","Verrucomicrobiaceae","","Prosthecobacter",""
"Taxa00034","Bacteria","","","","","","","","","","","STD_prok01"
"Taxa00035","Bacteria","","","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","",""
"Taxa00036","Bacteria","","","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","",""
"Taxa00037","Bacteria","","","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","Emticicia",""
"Taxa00038","Eukaryota","","","","Oomycetes","","Saprolegniales","","Saprolegniaceae","","",""
